id;Genus;Species;Variant;Name;protected;edibilityId
298;Panaeolus;sphinctrinus;(Fr) Quelet;Zvonasti smetištar, zvonoliki smetištar;FALSE;3
299;Panellus;stipticus;(Bull:Fr) Karsten;Trpki grudovac, gorki grudovac;FALSE;3
300;Patellaria;atrata;(Hedw.) Fr.;-;FALSE;3
301;Paxillus;atrotomentosus;(Batsch:Fr) Fr;Crnonoga uvijača, baršunasta uvijača;FALSE;3
302;Paxillus;involutus;(Batsch:Fr) Fr;Osjetljiva uvijača, obična uvijača;FALSE;2
303;Peziza;phyllogena;Cooke;Trobojna pločarica, doratasto-zbunjujuća zdjeličarka;FALSE;5
304;Phaeolus;schweinitzii;(Fr.) Pat.;Crnogorični rupičavac, Schweinitzov rupičar;FALSE;3
305;Phallus;impudicus;L:Pers;Smrdljivi stršak, stršak, pupavac, vražje jajce, smrdljivi mavrah, kuga;FALSE;4
306;Phellodon;niger;;;FALSE;3
307;Phleogena;faginea;;;FALSE;3
308;Pholiota;gummosa;;;FALSE;3
309;Pholiota;pinicola;;;FALSE;3
310;Pholiota;populnea;(Pers.) Kuyp. & Tjall.;Topolova ljuskavica, topolova čehavka, razorna čehavka;FALSE;3
311;Pholiota;squarrosa;(Mull:Fr) Kummer;Hrapava ljuskavica;FALSE;3
312;Phylloporus;pelletieri;(Lev.) Quel.;Crvenkasti listićavac, crvenozlatna listoporka;TRUE;5
313;Piptoporus;betulinus;(Bull.) P. Karst.;Brezina guba, brezovaca;FALSE;8
314;Plectania;melastoma;(Sowerby) Fuckel;Crvenkasta crnočaška;TRUE;3
315;Pleurotus;dryinus;;;FALSE;5
316;Pleurotus;ostreatus;;Šumska ostriga,Bukovača;FALSE;7
317;Plicaturopsis;crispa;;;FALSE;3
318;Polyporus;brumalis;;;FALSE;3
319;Polyporus;squamosus;(Huds.) Fr.;Škriplin, škripac, škripavac, ljuskavi rupičar;FALSE;5
320;Porphyrellus;porphyrosporus;;;TRUE;3
321;Propolis;farinosa;(Pers.) Fr.;-;FALSE;3
322;Psathyrella;ammophila;;;TRUE;3
323;Psathyrella;melanthina;;Siva slabunjavka;TRUE;3
324;Pseudoclitocybe;cyathiformis;;Peharasta grlašica;FALSE;6
325;Pseudohydnum;gelatinosum;;;FALSE;5
326;Pseudoplectania;nigrella;(Pers.) Fuckel;Blistava crnočaška;FALSE;3
327;Pycnoporellus;cinnabarinus;;;FALSE;3
328;Ramaria;botrytis;;crvenkasta capica;FALSE;6
329;Ramaria;formosa;(Pers.) Quel.;Trobojna griva,trobojna capica,trobojna koraljka;FALSE;2
330;Ramaria;pallida;;blijeda capica;FALSE;2
331;Ramaria sp.;(aurea);(Schaeff.) Quel.;Zlatna capica,prsteci;FALSE;5
332;Resupinatus;applicatus;(Batsch) Gray;-;FALSE;3
333;Rhodocybe;gemina;;;FALSE;5
334;Rhopographus;filicinus;(Fr.) Nits. ex Fuck.;-;FALSE;3
335;Rhytisma;acerinum;(Pers.) Fr.;-;FALSE;3
336;Rickenella;swartzii;;;FALSE;3
337;Russula;aeruginea;;;FALSE;3
338;Russula;caerulea;;;FALSE;3
339;Russula;cyanoxantha;(Sch.) Fr;Ljubičastozelena krasnica, plavka, sivka, sivozelenkasta krasnica;FALSE;7
340;Russula;emetica;;;FALSE;3
341;Russula;foetens;;smrdljiva krasnica, smrdača;FALSE;2
342;Russula;integra;;;FALSE;6
343;Russula;laeta;;;FALSE;5
344;Russula;lilacea;;;FALSE;5
345;Russula;nana;Killerman.1936;Alpska golubica;FALSE;3
346;Russula;persicina;;;FALSE;3
347;Russula;queletii;Fr.;Queletijeva krasnica;FALSE;3
348;Russula;solaris;Ferdinansen & Winge;Sunceva golubica;FALSE;3
349;Russula;versicolor;;;FALSE;3
350;Russula;vesca;;4 krasnica;FALSE;7
351;Russula;virescens;;Golubača,blavijenka,zeka;FALSE;7
352;Russula;xerampelina;;;FALSE;5
353;Rutstroemia;bolaris;(Batsch) Rehm;Grabova čašica;FALSE;3
354;Rutstroemia;bulgarioides;(Rabenh.)Karst.;;FALSE;3
355;Sarcodon;imbricatus;;;FALSE;5
356;Sarcoscypha sp.;(coccinea/austriaca);;Crveni peharcek,Srlatna casica,Babino uho;TRUE;5
357;Sarcosphaera;coronaria;(Jacq.) J. Schrot.;Ljubičasta krunašica;FALSE;1
358;Scleroderma;verrucosum;;;FALSE;2
359;Sclerotinia;tuberosa;(Hedw.) Fuckel;Šumaričin pehar;FALSE;3
360;Sparassis;crispa;;;TRUE;6
361;Sparassis;nemecii;;;FALSE;6
362;Spathularia;flavida;;Žuta spatula,Žuta lopatica;FALSE;3
363;Sphaerobolus;stellatus;Tode;Top gljiva;FALSE;3
364;Stereum;sanguinolentum;;;FALSE;3
365;Strobilurus;esculentus;(Wulfen) Singer;Smrekova češerka;FALSE;5
366;Stropharia;caerulea;Kreisel;Plava vitičarka;FALSE;3
367;Suillus;bovinus;;;FALSE;5
368;Suillus;granulatus;;Slinavka,ovčarka;FALSE;7
369;Suillus;grevillei;(Klotzsch)Singer;Prstenjak,elegantni vrganj,lični vrganj;FALSE;5
370;Suillus;luteus;;;FALSE;6
371;Suillus;variegatus;;;FALSE;5
372;Suillus;viscidus;;;FALSE;5
373;Thelephora;caryophyllea;;;FALSE;3
374;Thelephora;palmata;;;FALSE;3
375;Tremella;mesenterica;Schaeff.;Zlatnožuta drhtalica;FALSE;3
376;Trichaptum;abietinum;;;FALSE;3
377;Tricholoma;argyraceum;;;FALSE;5
378;Tricholoma;arvernense;;;FALSE;3
379;Tricholoma;atrosquamosum;;;FALSE;5
380;Tricholoma;aurantium;;;TRUE;3
381;Tricholoma;basirubens;;;FALSE;5
382;Tricholoma;columbetta;;;FALSE;7
383;Tricholoma;equestre;(Linn.:Fr.)Kummer;Zelenka;FALSE;2
384;Tricholoma;focale;;;FALSE;3
385;Tricholoma;pardinum;;;FALSE;2
386;Tricholoma;squarrulosum;;čehava vitezovka;FALSE;5
387;Tricholoma;terreum;(Sch:Fr) Kummer;Mišek, lažna sivka, miška, zemljana vitezovka, prljava vitezovka;FALSE;6
388;Tricholoma;vaccinum;;;FALSE;3
389;Tricholomopsis;decora;;;FALSE;3
390;Urnula;craterium;(Schwein.)Fr.;Crni pehar;TRUE;3
391;Verpa;bohemica;(Krombh.) J. Schrot;Češka smrčkovica;TRUE;4
392;Verpa;conica;(O.F. Mull.) Sw.;Prstasta smrčkovica;FALSE;4
393;Volvariella;bombycina;(Sch:Fr.)Singer;Svilenkasta tobolcarka,?umski ?i?ak;FALSE;5
394;Xerocomus;ripariellus;;;FALSE;5
395;Xerocomus;rubellus;(Krbh.) Quelet;Crvenkasti bar?unovac;FALSE;5
396;Xeromphalina;campanella;;;FALSE;3
397;Xylaria;carpophila;(Pers.) Fr.;-;FALSE;3
398;Xylaria;hypoxylon;;;FALSE;3
