Id;Varaint;Name;zasticena;vrsta;jestivost;slika
47;Bull:Fr;Hajdinski vrganj, crni vrganj, brončani vrganj, ljetni vrganj, hajdovec;;aereus;7;/slike/gljive/Boletus _aereus _BullFr.jpg
48;(Paulet) Fr;Proljetni vrganj, mrežasti vrganj;;aestivalis;7;/slike/gljive/Boletus_aestivalis_Paulet Fr.jpg
49;Schaeff.;Šiljatonogi vrganj, žuti vrganj, smeđa kraljevka;;appendiculatus;7;/slike/gljive/Boletus _appendiculatus _Schaeff..jpg
50;Pers:Fr;Lijeponogi vrganj, kravlja balega;;calopus;3;/slike/gljive/Boletus _calopus _PersFr.jpg
51;Bull:Fr;Jesenski vrganj, pravi vrganj, crnogorični vrganj, orvanj, gobanj, varganj, hrženjak, sirnjaja;;edulis;7;/slike/gljive/Boletus _edulis _BullFr.jpg
52;Pers.;Zelenjača;;erythropus;4;/slike/gljive/Boletus _erythropus _Pers..jpg
53;Velenovsky;Fechtnerov vrganj, blijeda kraljevka;1;fechtneri;7;/slike/gljive/Boletus _fechtneri _Velenovsky.jpg
54;Vittad.;Mirisavi vrganj;1;fragrans;6;/slike/gljive/Boletus _fragrans _Vittad..jpg
55;;;1;impolitus;6;/slike/gljive/Boletus_impolitus.jpg
56;(Pilat)ex Pilat & Dermek;Lažna ludara, vragoljasti vrganj;;legaliae;2;/slike/gljive/Boletus _legaliae _Pilatex Pilat  Dermek.jpg
57;Sch:Fr;Kovara, mrežastonogi vrganj, vrganjica, ludoglavka;;luridus;4;/slike/gljive/Boletus_luridus_SchFr.jpg
58;Bertea & Estades;-;;luteocupreus;3;/slike/gljive/Boletus _luteocupreus _Bertea  Estades.jpg
59;Pilat & Dermek;Borov vrganj, crveni vrganj;;pinophilus;7;/slike/gljive/Boletus _pinophilus _Pilat  Dermek.jpg
60;(Hubert) ex Estades;Lažna kraljevka, ljupki vrganj;;pseudoregius;7;/slike/gljive/Boletus _pseudoregius _Hubert ex Estades.jpg
61;Opatowski;Tintar, posuti vrganj, osuti vrganj;;pulverulentus;5;/slike/gljive/Boletus _pulverulentus _Opatowski.jpg
62;Schultzer;Glatkonoška, Queletov vrganj, slavonski vrganj,;;queletii;4;/slike/gljive/Boletus  _queletii_Schultzer.jpg
63;Pers:Fr;Gorki vrganj, bijeli gorčak;;radicans;3;/slike/gljive/Boletus _radicans _PersFr.jpg
64;Krombholz;Kraljevka, kraljevski vrganj;1;regius;7;/slike/gljive/Boletus _regius _Krombholz.jpg
65;(Krombholz) Kallenbach;Purpurnožuti vrganj, žuta ruževača;;rhodoxanthus;4;/slike/gljive/Boletus _rhodoxanthus _Krombholz Kallenbach.jpg
66;Walty ex (Cheype);-;;rubrosanguineus;3;/slike/gljive/Boletus _rubrosanguineus _Walty ex Cheype .jpg
67;Lenz;Ludara, bljutavka, luda gljiva, vražji vrganj, svinjača;;satanas;2;/slike/gljive/Boletus _satanas _Lenz.jpg
68;;PRIJEZIRNI VRGANJ (Boletus Aemilii ss. Alessio);;Spretus;7;/slike/gljive/Boletus_Spretus.jpg
69;;;;subappendiculatus;7;/slike/gljive/Boletus_subappendiculatus.jpg
70;Fr. & Hok;Teški vrganj;1;torosus;4;/slike/gljive/Boletus_torosus_Fr.  Hok.jpg
71;;;;aestivalis;3;/slike/gljive/Bovista _aestivalis.jpg
72;(Berk.) Fr.;-;;fusarioides;3;/slike/gljive/Calloria _fusarioides _Berk. Fr..jpg
73;;;;furcata;3;/slike/gljive/Calocera_furcata.jpg
74;(Pers:Fr) Fr;Žuta rožnatica, viskozna capica, viskozna rožnatica;;viscosa;3;/slike/gljive/Calocera _viscosa _PersFr Fr.jpg
75;;;1;constricta;3;/slike/gljive/Calocybe_constricta.jpg
76;(Fr:Fr) Singer ex Donk;Jurjevka, đurđevača, đurđevka, ranka, potrnka, majska kolobarnica, svibanjska gljiva;;gambosa;7;/slike/gljive/Calocybe _gambosa _FrFr Singer ex Donk.jpg
77;;;1;ionides;3;/slike/gljive/Calocybe _ionides.jpg
78;(Scop:Pers) Perdeck;Batinasta puhara, vrećasta puhara, visoka ćelavica;;excipuliformis;6;/slike/gljive/Calvatia _excipuliformis _ScopPers Perdeck.jpg
79;;Trbušasta puhara,livadska puhara,puša;;utriformis;6;/slike/gljive/Calvatia_utriformis.jpg
80;;;;amethysteus;7;/slike/gljive/Cantharellus_amethysteus.jpg
81;Fr:Fr;Lisičica,lisičarka, bjelkasta lisičica, lisica, pršutnica;;cibarius;7;/slike/gljive/Cantharellus_cibarius _FrFr.jpg
82;;Pepeljasta lisičica;;cinereus;6;/slike/gljive/Cantharellus_cinereus.jpg
83;Pers. ex Fr.;Zlatonoga trubača, žuta trubača;;lutescens;7;/slike/gljive/Cantharellus _lutescens _Pers. ex Fr..jpg
84;;Nagaravljena lisičica;;melanoxeros;7;/slike/gljive/Cantharellus_melanoxeros.jpg
85;Fr:Fr;Ljevkasta lisičica, peharasta lisičica;;tubaeformis;6;/slike/gljive/Cantharellus _tubaeformis _FrFr.jpg
86;;;1;imperiale;5;/slike/gljive/Catathelasma _imperiale.jpg
87;(Bull:fr) Bataille;Papreni vrganj, paprenjak, papreni sluzavac;;piperatus;4;/slike/gljive/Chalciporus _piperatus _Bullfr Bataille.jpg
88;;;;fracidus;3;/slike/gljive/Chamaemyces_fracidus.jpg
89;;;;aeruginascens;3;/slike/gljive/Chlorociboria_aeruginascens.jpg
90;(Sch:Fr) OK Miller;Borov čavlić, bakrenasti prljavac, borov slinavac, borov polžar;;rutilus;5;/slike/gljive/Chroogomphus _rutilus _SchFr OK Miller.jpg
91;(Berk.) Dring;Velika polipovka;;archeri;3;/slike/gljive/Clathrus _archeri _Berk. Dring.jpg
92;;;;acuta;3;/slike/gljive/Clavaria_acuta.jpg
93;(L:Fr) Donk;Veliki buzdovan, velika kijačarka, velika toljaga;;pistillaris;4;/slike/gljive/Clavariadelphus _pistillaris _LFr Donk.jpg
94;;;;coralloides;3;/slike/gljive/Clavulina_coralloides.jpg
95;(Gillet) Gillet;Aleksandrova grlašica;;alexandri;5;/slike/gljive/Clitocybe _alexandri _Gillet Gillet.jpg
96;;;1;collina;3;/slike/gljive/Clitocybe _collina.jpg
97;(Bull:Fr) Quelet;Martinčica, martinovka, fratarica, pršutica, veli žmuj, velika livka, pozna livka;;geotropa;6;/slike/gljive/Clitocybe _geotropa_BullFr Quelet.jpg
98;(Pers:Fr) Kummer;Mala martinčica, smeđasta grlašica, grbičasta grlašica;;gibba;5;/slike/gljive/Clitocybe _gibba _PersFr Kummer.jpg
99;(Scop) Patouillard;Izvrnuta grlašica, žuta uleknjača;;inversa;4;/slike/gljive/Clitocybe _inversa _Scop Patouillard.jpg
100;(Batsch:Fr) Kummer;Maglenka, snježnica, maglena grlašica;;nebularis;4;/slike/gljive/Clitocybe_nebularis_BatschFr Kummer.jpg
101;(Bull:Fr) Kummer;Mirisna grlašica, mirisna uleknjača, anisovka, anisova grlašica, zelena grlašica;;odora;5;/slike/gljive/Clitocybe _odora _BullFr Kummer.jpg
102;(Pers:Fr) Kummer;Vapnenasta grlašica, bijela otrovnica, lisnata grlašica;;phyllophila;1;/slike/gljive/Clitocybe _phyllophila _PersFr Kummer.jpg
103;;;;rivulosa;1;/slike/gljive/Clitocybe_rivulosa.jpg
104;(Scop:fr) Quelet;Brašnjača, svilena lisičica, mlinarica, krhka brašnjača, majevka, mokarica, slivarica;;prunulus;7;/slike/gljive/Clitopilus _prunulus _Scopfr Quelet.jpg
105;(Bull:Fr) Kummer;Maslačna plosnatica;;butyracea;5;/slike/gljive/Collybia  _butyracea_BullFr Kummer.jpg
106;;;;cirrhata;3;/slike/gljive/Collybia _cirrhata.jpg
107;(Bull:Fr) Kummer;Vitka plosnatica, vitka korenovka, šumska plosnatica;;dryophila;5;/slike/gljive/Collybia  _dryophila _BullFr Kummer.jpg
108;(Bull:Fr) Quelet;Hrastova plosnatica, hrastovača;;fusipes;4;/slike/gljive/Collybia _fusipes _BullFr Quelet.jpg
109;(Alb &Schw:Fr) Quelet;Pjegava plosnatica;;maculata;3;/slike/gljive/Collybia _maculata _Alb SchwFr Quelet.jpg
110;(Bolt:Fr) Kummer;Ljuta plosnatica, ljuta lisnatica, runjava lisnatica;;peronata;3;/slike/gljive/Collybia  _peronata _BoltFr Kummer.jpg
111;;;;nigra;3;/slike/gljive/Comatricha_nigra.jpg
112;(Bull:Fr) Fr;Jajasta gnojištarka, naborana gnojištarka, obična gnojištarka, prava gnojištarka, prava tintnica;;atramentarius;4;/slike/gljive/Coprinus _atramentarius _BullFr Fr.jpg
113;(Mull:Fr) Pers;Velika gnojištarka, ljuskava gnojištarka;;comatus;7;/slike/gljive/Coprinus _comatus _MullFr Pers.jpg
114;(Pers:Fr) SF Gray;Rasijana gnojištarka;;disseminatus;3;/slike/gljive/Coprinus _disseminatus _PersFr SF Gray.jpg
115;;;;gonophyllus;3;/slike/gljive/Coprinus_gonophyllus.jpg
116;(Bull:Fr) Fr;Blistava gnojištarka, tinjčeva gnojištarka;;micaceus;5;/slike/gljive/Coprinus _micaceus _BullFr Fr.jpg
117;(Bull:Fr) SF Gray;Šarena gnojištarka, šarena tintnica;;picaceus;3;/slike/gljive/Coprinus _picaceus _BullFr SF Gray.jpg
118;;;;capitata;3;/slike/gljive/Cordyceps_capitata.jpg
119;(L:Fr) Link;Stršeća gusjenica, narančasti ubojica gusjenica, narančasta batinica;;militaris;8;/slike/gljive/Cordyceps _militaris _LFr Link.jpg
120;(Pers:Fr) Pers;Ljuskava koprenka, crvenšarka;;bolaris;2;/slike/gljive/Cortinarius _bolaris _PersFr Pers.jpg
121;;;;elatior;3;/slike/gljive/Cortinarius_elatior.jpg
122;;;;humicola;2;/slike/gljive/Cortinarius_humicola.jpg
123;Fr.;Crvenjača, planinska koprenka, poljska koprenka;;orellanus;1;/slike/gljive/Cortinarius _orellanus _Fr..jpg
124;(Cordier) Gillet;Debelonoška,ukusna koprenka;1;praestans;6;/slike/gljive/Cortinarius_praestans_Cordier Gillet.jpg
125;;;;salor;3;/slike/gljive/Cortinarius_salor.jpg
126;(Fr:Fr) Gillet;Polukrvna koprenka, polukrvna crvenjača;;semisanguineus;2;/slike/gljive/Cortinarius _semisanguineus _FrFr Gillet.jpg
127;Lange;Obična koprenka;;trivialis;3;/slike/gljive/Cortinarius _trivialis _Lange.jpg
128;;;;turmalis;3;/slike/gljive/Cortinarius_turmalis.jpg
129;;;;variecolor;3;/slike/gljive/Cortinarius_variecolor.jpg
130;(L:Fr) Fr;Ljubičasta koprenka;;violaceus;5;/slike/gljive/Cortinarius  _violaceus_LFr Fr.jpg
131;(L:Fr) Pers.;Mrka trubača, mrtvačka truba, crna trubača, rog obilja;;cornucopioides;7;/slike/gljive/Craterellus _cornucopioides _LFr Pers..jpg
132;;Batrljica;;sp.;3;/slike/gljive/Crepidotus _variabilis.jpg
133;;;;scabella;3;/slike/gljive/Crinipellis _scabella.jpg
134;(Huds:Pers) Willdenow;Prugasta košarica, prugasti lončić, ptičje gnijezdo;;striatus;3;/slike/gljive/Cyathus _striatus _HudsPers Willdenow.jpg
135;(Pers.) Donk;-;;anomala;3;/slike/gljive/Cyphellopsis _anomala _Pers. Donk.jpg
136;;Smeđa hrapavica;;amianthinum;3;/slike/gljive/Cystoderma _amianthinum.jpg
137;Berk. & M.A. Curtis;Palmolika drhtalica;;chrysospermus;3;/slike/gljive/Dacrymyces _chrysospermus _Berk.  M.A. Curtis.jpg
138;(L:Fr) Fr;Hrastova raznocijevka;;quercina;3;/slike/gljive/Daedalea  _quercina_LFr Fr.jpg
139;(Krombh.) Eckblad;Golema pločarica;;gigas;3;/slike/gljive/Discina _gigas _Krombh. Eckblad.jpg
140;(Pers:Fr) Arnault;Žilasta tavica;;venosa;4;/slike/gljive/Disciotis_ venosa _PersFr Arnault.jpg
141;Fr.;Igličava jelen-gljiva, kratkošiljata jelen-gljiva;;muricatus;4;/slike/gljive/Elaphomyces  _muricatus_Fr. .jpg
142;(Alb. & Sch.)Karst.;-;;fascicularis;3;/slike/gljive/Encoelia _fascicularis _Alb.  Sch.Karst..jpg
143;(Roth) P. Karst.;-;;furfuracea;3;/slike/gljive/Encoelia _furfuracea _Roth P. Karst..jpg
144;(L.) Kummer;Šljivovača, šljivarka, trnčica, štitasta rudoliska, sivkasta šljivovača, šljivova gljiva;;clypeatum;7;/slike/gljive/Entoloma _clypeatum _L. Kummer.jpg
145;(Schum:Fr) Moser;Dlakavonoga rudoliska, smrdljiva rudoliska;;hirtipes;3;/slike/gljive/Entoloma _hirtipes  _SchumFr Moser.jpg
146;;;;icterinum;3;/slike/gljive/Entoloma_icterinum.jpg
